source_id,answer,clue,part_of_speech,length,quality,dictionary_bits,review_decision,review_notes
"wn30:02148788-v","show","give an exhibition of to an interested audience","verb","4","95","3","",""
"wn30:00749230-a","easy","posing no difficulty; requiring little effort","adjective","4","95","3","",""
"wn30:13740168-n","nothing","a quantity of no importance","noun","7","95","3","",""
"wn30:02760116-a","medical","relating to the study or practice of medicine","adjective","7","95","3","",""
"wn30:01448100-v","pull","cause to move by pulling","verb","4","95","3","",""
"wn30:05093890-n","level","a position on a scale of intensity or amount or quality","noun","5","95","3","",""
"wn30:00002621-r","hardly","only a very short time before","adverb","6","95","3","",""
"wn30:00913065-v","scream","utter a sudden loud cry","verb","6","95","3","",""
"wn30:00176383-r","heavily","to a considerable degree","adverb","7","95","3","",""
"wn30:06364641-n","literature","creative writing of recognized artistic value","noun","10","95","3","",""
"wn30:00634472-v","conclude","decide by reasoning; draw or come to a conclusion","verb","8","95","3","",""
"wn30:02450256-v","participate","share in something","verb","11","95","3","",""
"wn30:01033527-v","deal","act on verbally or in some form of artistic expression","verb","4","95","3","",""
"wn30:00220869-v","strengthen","make strong or stronger","verb","10","95","3","",""
"wn30:01020005-v","remark","make mention of","verb","6","95","3","",""
"wn30:00068368-r","along","with a forward motion","adverb","5","95","3","",""
"wn30:00004722-r","just","and nothing more","adverb","4","95","3","",""
"wn30:00887463-v","devote","give entirely to a specific person, activity, or cause","verb","6","95","3","",""
"wn30:05168261-n","importance","the quality of being important and worthy of note","noun","10","95","3","",""
"wn30:01472628-a","major","of greater importance or stature or rank","adjective","5","95","3","",""
"wn30:15282696-n","speed","distance travelled per unit time","noun","5","95","3","",""
"wn30:09876454-n","brother","a male with the same parents as someone else","noun","7","95","3","",""
"wn30:08324514-n","commission","a special group delegated to consider some matter","noun","10","95","3","",""
"wn30:01148283-a","happy","enjoying or showing or marked by joy or pleasure","adjective","5","95","3","",""
"wn30:02106506-v","perceive","to become aware of through the senses","verb","8","95","3","",""
"wn30:07082573-n","tone","the quality of a person's voice","noun","4","95","3","",""
"wn30:00429060-v","reduce","cut down on; make a reduction in","verb","6","95","3","",""
"wn30:15113229-n","period","an amount of time","noun","6","95","3","",""
"wn30:01206218-v","touch","make physical contact with, come in contact with","verb","5","95","3","",""
"wn30:00084223-r","especially","to a distinctly greater extent or degree than is common","adverb","10","95","3","",""
"wn30:01192628-v","afford","be able to spare or give up","verb","6","95","3","",""
"wn30:00717358-v","react","show a response or a reaction to something","verb","5","95","3","",""
"wn30:14322699-n","pain","a symptom of some physical hurt or disorder","noun","4","95","3","",""
"wn30:00027167-n","location","a point or extent in space","noun","8","95","3","",""
"wn30:02697120-v","threaten","pose a threat to; present a danger to","verb","8","95","3","",""
"wn30:00126264-v","alter","cause to change; make different; cause a transformation","verb","5","95","3","",""
"wn30:02168965-v","peer","look searchingly","verb","4","95","3","",""
"wn30:00426928-n","recreation","an activity that diverts or amuses or stimulates","noun","10","95","3","",""
"wn30:02522864-v","manage","be successful; achieve a goal","verb","6","95","3","",""
"wn30:00947128-n","use","the act of using","noun","3","95","3","",""
"wn30:02728440-n","clothes","clothing in general","noun","7","95","3","",""
"wn30:00029367-r","moreover","in addition","adverb","8","95","3","",""
"wn30:00842989-v","accuse","bring an accusation against; level a charge against","verb","6","95","3","",""
"wn30:00085811-r","rapidly","with rapid movements","adverb","7","95","3","",""
"wn30:05548840-n","shoulder","the part of the body between the neck and the upper arm","noun","8","95","3","",""
"wn30:01405044-v","hit","cause to move by striking","verb","3","95","3","",""
"wn30:00108479-r","here","in or at this place; where the speaker or writer is","adverb","4","95","3","",""
"wn30:09992837-n","daughter","a female human offspring","noun","8","95","3","",""
"wn30:02603699-v","exist","have an existence, be extant","verb","5","95","3","",""
"wn30:07283608-n","occurrence","an event that happens","noun","10","95","3","",""
"wn30:07543288-n","love","a strong positive emotion of regard and affection","noun","4","95","3","",""
"wn30:00292937-a","busy","actively or fully engaged or occupied","adjective","4","95","3","",""
"wn30:01904930-v","walk","use one's feet to advance; advance by steps","verb","4","95","3","",""
"wn30:02248465-v","find","come upon, as if by accident; meet with","verb","4","95","3","",""
"wn30:00004722-r","merely","and nothing more","adverb","6","95","3","",""
"wn30:13779032-n","volume","the amount of 3-dimensional space occupied by an object","noun","6","95","3","",""
"wn30:13750844-n","thousand","the cardinal number that is the product of 10 and 100","noun","8","95","3","",""
"wn30:01020005-v","note","make mention of","verb","4","95","3","",""
"wn30:05919263-n","heart","the locus of feelings and intuitions","noun","5","95","3","",""
"wn30:15290337-n","phase","any distinct time period in a sequence of events","noun","5","95","3","",""
"wn30:07048000-n","song","a short musical composition with words","noun","4","95","3","",""
"wn30:15121625-n","future","the time yet to come","noun","6","95","3","",""
"wn30:08559508-n","home","where you live at a particular time","noun","4","95","3","",""
"wn30:00631737-v","guess","expect, believe, or suppose","verb","5","95","3","",""
"wn30:02778669-n","ball","round object that is hit or thrown or kicked in games","noun","4","95","3","",""
"wn30:08179689-n","public","people in general considered as a whole","noun","6","95","3","",""
"wn30:07307477-n","incident","a single distinct event","noun","8","95","3","",""
"wn30:00116791-r","together","in contact with each other or in proximity","adverb","8","95","3","",""
"wn30:00471711-v","eliminate","terminate, end, or take out","verb","9","95","3","",""
"wn30:02718309-v","share","have in common","verb","5","95","3","",""
"wn30:08114861-n","department","a specialized division of a large organization","noun","10","95","3","",""
"wn30:01010862-a","first","preceding all others in time or space or degree","adjective","5","95","3","",""
"wn30:15121406-n","history","the aggregate of past events","noun","7","95","3","",""
"wn30:00007846-n","person","a human being","noun","6","95","3","",""
"wn30:01889610-v","shake","move or cause to move back and forth","verb","5","95","3","",""
"wn30:02169891-v","listen","hear with intention","verb","6","95","3","",""
"wn30:08078020-n","family","a social unit living together","noun","6","95","3","",""
"wn30:00652900-v","compare","examine and note the similarities or differences of","verb","7","95","3","",""
"wn30:00021878-r","sometimes","on certain occasions or in certain cases but not always","adverb","9","95","3","",""
"wn30:15205532-n","century","a period of 100 years","noun","7","95","3","",""
"wn30:03748886-n","product","commodities offered for sale","noun","7","95","3","",""
"wn30:00107987-r","gradually","in a gradual manner","adverb","9","95","3","",""
"wn30:01296462-v","attach","cause to be attached","verb","6","95","3","",""
"wn30:02492198-v","entertain","provide entertainment for","verb","9","95","3","",""
"wn30:08441203-n","law","the collection of rules imposed by authority","noun","3","95","3","",""
"wn30:00893955-n","training","activity leading to skilled behavior","noun","8","95","3","",""
"wn30:00153568-r","carefully","taking care or paying attention","adverb","9","95","3","",""
"wn30:08190482-n","enemy","an opposing military force","noun","5","95","3","",""
"wn30:00428404-a","clear","readily apparent to the mind","adjective","5","95","3","",""
"wn30:00160834-r","relatively","in a relative manner; by comparison to something else","adverb","10","95","3","",""
"wn30:08630039-n","region","the extended spatial location of something","noun","6","95","3","",""
"wn30:02564986-a","willing","disposed or inclined toward","adjective","7","95","3","",""
"wn30:02327200-v","provide","give something useful or necessary to","verb","7","95","3","",""
"wn30:02331262-a","successful","having succeeded or being marked by a favorable outcome","adjective","10","95","3","",""
"wn30:07309599-n","time","an instance or single occasion for some event","noun","4","95","3","",""
"wn30:01912159-v","cross","travel across or pass over","verb","5","95","3","",""
"wn30:01034312-v","discuss","to consider or examine in speech or writing","verb","7","95","3","",""
"wn30:10078806-n","farmer","a person who operates a farm","noun","6","95","3","",""
"wn30:00917300-v","suppose","express a supposition","verb","7","95","3","",""
"wn30:00081486-r","daily","every day; without missing a day","adverb","5","95","3","",""
"wn30:00039058-r","clearly","without doubt or question","adverb","7","95","3","",""
"wn30:01182021-v","feed","provide as food","verb","4","95","3","",""
"wn30:00727564-a","independent","free from external control and constraint","adjective","11","95","3","",""
"wn30:13289467-n","allotment","a share set aside for a specific purpose","noun","9","95","3","",""
"wn30:13279262-n","wage","something that remunerates","noun","4","95","3","",""
"wn30:02599636-v","take","carry out","verb","4","95","3","",""
"wn30:01508368-v","throw","propel through the air","verb","5","95","3","",""
"wn30:01074650-a","friendly","characteristic of or befitting a friend","adjective","8","95","3","",""
"wn30:00138611-r","probably","with considerable certainty; without much doubt","adverb","8","95","3","",""
"wn30:01021128-v","illustrate","clarify by giving an example of","verb","10","95","3","",""
"wn30:14449126-n","need","a condition requiring relief","noun","4","95","3","",""
"wn30:01135783-v","fire","start firing a weapon","verb","4","95","3","",""
"wn30:02814453-a","thermal","relating to or associated with heat","adjective","7","95","3","",""
"wn30:05868954-n","element","an abstract part of something","noun","7","95","3","",""
"wn30:02666239-v","differ","be different","verb","6","95","3","",""
"wn30:07355491-n","death","the event of dying or departure from life","noun","5","95","3","",""
"wn30:08223802-n","community","a group of people living in a particular local area","noun","9","95","3","",""
"wn30:01184932-a","heavy","of comparatively great physical weight or density","adjective","5","95","3","",""
"wn30:06999647-n","figure","a diagram or picture illustrating textual material","noun","6","95","3","",""
"wn30:01792640-n","hen","adult female chicken","noun","3","95","3","",""
"wn30:08008335-n","organization","a group of people who work together","noun","12","95","3","",""
"wn30:00708538-v","intend","have in mind as a purpose","verb","6","95","3","",""
"wn30:02390335-a","wild","marked by extreme lack of restraint or control","adjective","4","95","3","",""
"wn30:02077656-v","bring","take something or somebody with oneself somewhere","verb","5","95","3","",""
"wn30:08434259-n","network","an interconnected system of things or people","noun","7","95","3","",""
"wn30:08679972-n","direction","a line leading to a place or point","noun","9","95","3","",""
"wn30:03479952-n","hall","an interior passage or corridor onto which rooms open","noun","4","95","3","",""
"wn30:13954253-n","existence","the state or fact of existing","noun","9","95","3","",""
"wn30:02493030-v","visit","go to see a place, as for entertainment","verb","5","95","3","",""
"wn30:02324478-v","contribute","bestow a quality on","verb","10","95","3","",""
"wn30:01375174-a","known","apprehended with certainty","adjective","5","95","3","",""
"wn30:05124057-n","limit","the greatest possible degree of something","noun","5","95","3","",""
"wn30:09358358-n","moon","the natural satellite of the Earth","noun","4","95","3","",""
"wn30:10665698-n","student","a learner who is enrolled in an educational institution","noun","7","95","3","",""
"wn30:00006032-a","relative","estimated by comparison; not absolute or complete","adjective","8","95","3","",""
"wn30:00815686-v","answer","react verbally","verb","6","95","3","",""
"wn30:01775164-v","love","have a great affection or liking for","verb","4","95","3","",""
"wn30:02230772-v","hand","place into the hands or custody of","verb","4","95","3","",""
"wn30:10100761-n","fool","a person who lacks good judgment","noun","4","95","3","",""
"wn30:06387980-n","text","the words of something written","noun","4","95","3","",""
"wn30:00941990-v","speak","express in speech","verb","5","95","3","",""
"wn30:02637938-v","wait","stay in one place and anticipate or expect something","verb","4","95","3","",""
"wn30:01482075-v","hang","be suspended or hanging","verb","4","95","3","",""
"wn30:07337390-n","variation","an instance of change; the rate or magnitude of change","noun","9","95","3","",""
"wn30:00060939-r","before","earlier in time; previously","adverb","6","95","3","",""
"wn30:09632518-n","worker","a person who works at a specific occupation","noun","6","95","3","",""
"wn30:01016778-v","assert","state categorically","verb","6","95","3","",""
"wn30:00098714-r","rather","on the contrary","adverb","6","95","3","",""
"wn30:00875141-v","recommend","push for something","verb","9","95","3","",""
"wn30:02327200-v","furnish","give something useful or necessary to","verb","7","95","3","",""
"wn30:00577525-n","service","work done by one person or group that benefits another","noun","7","95","3","",""
"wn30:00300247-r","possibly","by chance","adverb","8","95","3","",""
"wn30:07327805-n","factor","anything that contributes causally to a result","noun","6","95","3","",""
"wn30:00880207-a","increased","made greater in size or amount or degree","adjective","9","95","3","",""
"wn30:06208751-n","view","a way of regarding situations or topics etc","noun","4","95","3","",""
"wn30:01552519-v","cut","separate with or as if with an instrument","verb","3","95","3","",""
"wn30:15237044-n","spring","the season of growth","noun","6","95","3","",""
"wn30:00166025-r","long","for an extended time or at a distant time","adverb","4","95","3","",""
"wn30:15204983-n","decade","a period of 10 years","noun","6","95","3","",""
"wn30:00611047-a","traditional","consisting of or derived from tradition","adjective","11","95","3","",""
"wn30:09303008-n","hill","a local and well-defined elevation of the land","noun","4","95","3","",""
"wn30:02624263-v","arise","come into existence; take on form or shape","verb","5","95","3","",""
"wn30:15234764-n","minute","a unit of time equal to 60 seconds or 1/60th of an hour","noun","6","95","3","",""
"wn30:10405694-n","patient","a person who requires medical care","noun","7","95","3","",""
"wn30:08307589-n","meeting","a formally arranged gathering","noun","7","95","3","",""
"wn30:01580050-a","necessary","absolutely essential","adjective","9","95","3","",""
"wn30:01128193-v","protect","shield from danger, injury, destruction, or damage","verb","7","95","3","",""
"wn30:00717358-v","respond","show a response or a reaction to something","verb","7","95","3","",""
"wn30:13776621-n","much","a great amount or extent","noun","4","95","3","",""
"wn30:15209413-n","month","one of the twelve divisions of the calendar year","noun","5","95","3","",""
"wn30:00001740-v","breathe","draw air into, and expel out of, the lungs","verb","7","95","3","",""
"wn30:00074095-r","ago","in the past","adverb","3","95","3","",""
"wn30:13649791-n","inch","a unit of length equal to one twelfth of a foot","noun","4","95","3","",""
"wn30:00345761-v","start","take the first step or steps in carrying out an action","verb","5","95","3","",""
"wn30:08621598-n","position","the particular portion of space occupied by something","noun","8","95","3","",""
"wn30:00106921-r","usually","under normal conditions","adverb","7","95","3","",""
"wn30:05677504-n","sense","a general conscious awareness","noun","5","95","3","",""
"wn30:00122661-n","shot","the act of firing a projectile","noun","4","95","3","",""
"wn30:02632353-v","lack","be without","verb","4","95","3","",""
"wn30:00756338-v","claim","assert or affirm strongly; state to be true or existing","verb","5","95","3","",""
"wn30:13963192-n","life","a characteristic state or mode of living","noun","4","95","3","",""
"wn30:00059086-r","much","to a great degree or extent","adverb","4","95","3","",""
"wn30:00147386-r","such","to so extreme a degree","adverb","4","95","3","",""
"wn30:15244650-n","moment","a particular point in time","noun","6","95","3","",""
"wn30:00060632-r","previously","at an earlier time or formerly","adverb","10","95","3","",""
"wn30:00339934-v","happen","come to pass","verb","6","95","3","",""
"wn30:05928118-n","image","an iconic mental representation","noun","5","95","3","",""
"wn30:05930736-n","pattern","a perceptual structure","noun","7","95","3","",""
"wn30:00036291-r","slightly","to a small degree or extent","adverb","8","95","3","",""
"wn30:07800091-n","feed","food for domestic livestock","noun","4","95","3","",""
"wn30:02251743-v","pay","give money, usually in exchange for goods or services","verb","3","95","3","",""
"wn30:00205885-v","improve","to make better","verb","7","95","3","",""
"wn30:06536853-n","bill","a statute in draft before it becomes law","noun","4","95","3","",""
"wn30:01113068-n","marketing","the exchange of goods for an agreed sum of money","noun","9","95","3","",""
"wn30:09945905-n","comrade","a friend who is frequently in the company of another","noun","7","95","3","",""
"wn30:00025559-r","somewhere","in or at or to some place","adverb","9","95","3","",""
"wn30:00079947-r","above","at an earlier place","adverb","5","95","3","",""
"wn30:04679738-n","expression","the feelings expressed on a person's face","noun","10","95","3","",""
"wn30:08663860-n","top","the upper part of anything","noun","3","95","3","",""
"wn30:00686447-v","accept","consider or hold as true","verb","6","95","3","",""
"wn30:13358549-n","fund","a reserve of money set aside for some purpose","noun","4","95","3","",""
"wn30:05093890-n","degree","a position on a scale of intensity or amount or quality","noun","6","95","3","",""
"wn30:05865998-n","point","a geometric element that has position but no extension","noun","5","95","3","",""
"wn30:00061203-r","later","happening at a time subsequent to a reference time","adverb","5","95","3","",""
"wn30:03327234-n","fence","a barrier that serves to enclose an area","noun","5","95","3","",""
"wn30:01024190-v","mention","make reference to","verb","7","95","3","",""
"wn30:00636574-v","derive","reason by deduction; establish by deduction","verb","6","95","3","",""
"wn30:00037226-r","really","in accordance with truth or fact or reality","adverb","6","95","3","",""
"wn30:00051848-r","directly","without deviation","adverb","8","95","3","",""
"wn30:00053744-r","practically","almost; nearly","adverb","11","95","3","",""
"wn30:01023259-v","quote","repeat a passage from","verb","5","95","3","",""
"wn30:00697589-v","decide","reach, make, or come to a decision about something","verb","6","95","3","",""
"wn30:06999647-n","fig","a diagram or picture illustrating textual material","noun","3","95","3","",""
"wn30:06634376-n","information","a message received and understood","noun","11","95","3","",""
"wn30:15290337-n","stage","any distinct time period in a sequence of events","noun","5","95","3","",""
"wn30:10285313-n","boy","a youthful male person","noun","3","95","3","",""
"wn30:02134927-v","sound","appear in a certain way","verb","5","95","3","",""
"wn30:02676054-v","concern","be relevant to","verb","7","95","3","",""
"wn30:01619929-v","destroy","do away with, cause the destruction or undoing of","verb","7","95","3","",""
"wn30:01001857-v","file","record in a public office or in a court of law","verb","4","95","3","",""
"wn30:04679738-n","look","the feelings expressed on a person's face","noun","4","95","3","",""
"wn30:06624161-n","letter","a written message addressed to a person or organization","noun","6","95","3","",""
"wn30:09908025-n","fellow","a boy or man","noun","6","95","3","",""
"wn30:06333653-n","name","a language unit by which a person or thing is known","noun","4","95","3","",""
"wn30:01009240-v","say","express in words","verb","3","95","3","",""
"wn30:01411451-a","likely","has a good chance of being the case or of coming about","adjective","6","95","3","",""
"wn30:00162632-n","decision","the act of making up your mind about something","noun","8","95","3","",""
"wn30:01275562-a","important","of great significance or value","adjective","9","95","3","",""
"wn30:01855764-a","basic","pertaining to or constituting a base or basis","adjective","5","95","3","",""
"wn30:01731031-v","sing","deliver by singing","verb","4","95","3","",""
"wn30:00047392-r","too","to a degree exceeding normal or proper limits","adverb","3","95","3","",""
"wn30:00061677-r","suddenly","happening unexpectedly","adverb","8","95","3","",""
"wn30:00884466-n","course","education imparted in a series of lessons or meetings","noun","6","95","3","",""
"wn30:02530167-v","try","make an effort or attempt","verb","3","95","3","",""
"wn30:02554922-v","promote","contribute to the progress or growth of","verb","7","95","3","",""
"wn30:10420031-n","petitioner","one praying humbly for something","noun","10","95","3","",""
"wn30:01878466-a","proper","marked by suitability or rightness or appropriateness","adjective","6","95","3","",""
"wn30:10053808-n","employee","a worker who is hired to perform a job","noun","8","95","3","",""
"wn30:00038625-r","naturally","as might be expected","adverb","9","95","3","",""
"wn30:10014939-n","manager","someone who controls resources and expenditures","noun","7","95","3","",""
"wn30:01618053-a","obvious","easily perceived by the senses or grasped by the mind","adjective","7","95","3","",""
"wn30:07473441-n","victory","a successful ending of a struggle or contest","noun","7","95","3","",""
"wn30:00021212-r","occasionally","now and then or here and there","adverb","12","95","3","",""
"wn30:04928903-n","style","how something is done or how it happens","noun","5","95","3","",""
"wn30:01514827-a","involved","connected by participation or association or use","adjective","8","95","3","",""
"wn30:00636921-n","research","systematic investigation to establish facts","noun","8","95","3","",""
"wn30:10020890-n","doctor","a licensed medical practitioner","noun","6","95","3","",""
"wn30:00452512-v","fill","make full, also in a metaphorical sense","verb","4","95","3","",""
"wn30:13736799-n","half","one of two equal parts of a divisible whole","noun","4","95","3","",""
"wn30:02055649-v","hurry","move very fast","verb","5","95","3","",""
"wn30:00029378-n","event","something that happens at a given place and time","noun","5","95","3","",""
"wn30:13943968-n","thing","a special situation","noun","5","95","3","",""
"wn30:14498096-n","soil","the state of being covered with unclean things","noun","4","95","3","",""
"wn30:15155220-n","day","time for Earth to make a complete rotation on its axis","noun","3","95","3","",""
"wn30:00014742-v","sleep","be asleep","verb","5","95","3","",""
"wn30:01415021-a","limited","small in range or scope","adjective","7","95","3","",""
"wn30:02547586-v","aid","give help or assistance; be of service","verb","3","95","3","",""
"wn30:02821627-n","bedroom","a room used primarily for sleeping","noun","7","95","3","",""
"wn30:02385102-a","tall","great in vertical dimension; high in stature","adjective","4","95","3","",""
"wn30:01078783-v","confront","oppose, as in hostility or a competition","verb","8","95","3","",""
"wn30:14002279-n","balance","a state of equilibrium","noun","7","95","3","",""
"wn30:13960974-n","absence","the state of being absent","noun","7","95","3","",""
"wn30:00046002-r","otherwise","in other respects or ways","adverb","9","95","3","",""
"wn30:00898434-v","nod","express or signify by nodding","verb","3","95","3","",""
"wn30:00019339-r","always","at all times; all the time and on every occasion","adverb","6","95","3","",""
"wn30:00087663-n","award","a grant made by a law court","noun","5","95","3","",""
"wn30:00939277-v","explain","make plain and comprehensible","verb","7","95","3","",""
"wn30:03048558-a","binomial","of or relating to or consisting of two terms","adjective","8","95","3","",""
"wn30:09917593-n","child","a young person of either sex","noun","5","95","3","",""
"wn30:00356926-a","characteristic","typical or distinctive","adjective","14","95","3","",""
"wn30:08058098-n","company","an institution created to conduct business","noun","7","95","3","",""
"wn30:01546111-v","stand","be standing; be upright","verb","5","95","3","",""
"wn30:09984659-n","customer","someone who pays for goods or services","noun","8","95","3","",""
"wn30:05134547-n","depth","the extent downward or backward or inward","noun","5","95","3","",""
"wn30:02818832-n","bed","a piece of furniture that provides a place to sleep","noun","3","95","3","",""
"wn30:00965606-a","familiar","well known or easily recognized","adjective","8","95","3","",""
"wn30:00729378-v","wonder","have a wish or desire to know something","verb","6","95","3","",""
"wn30:04090263-n","rifle","a shoulder firearm with a long barrel and a rifled bore","noun","5","95","3","",""
"wn30:00911048-n","construction","the act of constructing something","noun","12","95","3","",""
"wn30:02988060-a","national","of or relating to or belonging to a nation or country","adjective","8","95","3","",""
"wn30:00915830-v","whisper","speak softly; in a low voice","verb","7","95","3","",""
"wn30:00035058-r","often","many times at short intervals","adverb","5","95","3","",""
"wn30:01072949-v","play","participate in games or sport","verb","4","95","3","",""
"wn30:02702508-v","cost","be priced at","verb","4","95","3","",""
"wn30:01170052-v","drink","take in liquids","verb","5","95","3","",""
"wn30:09436708-n","sky","the atmosphere and outer space as viewed from the earth","noun","3","95","3","",""
"wn30:00754942-v","demand","request urgently and forcefully","verb","6","95","3","",""
"wn30:00720063-v","await","look forward to the probable occurrence of","verb","5","95","3","",""
"wn30:02680814-v","cease","put an end to a state or an activity","verb","5","95","3","",""
"wn30:00172710-n","means","how a result is obtained or an end is achieved","noun","5","95","3","",""
"wn30:05840188-n","type","a subdivision of a particular kind of thing","noun","4","95","3","",""
"wn30:00875394-v","propose","make a proposal, declare a plan for something","verb","7","95","3","",""
"wn30:10243137-n","lady","a polite name for any woman","noun","4","95","3","",""
"wn30:03183080-n","device","an instrumentality invented for a particular purpose","noun","6","95","3","",""
"wn30:00806502-v","approve","give sanction to","verb","7","95","3","",""
